Date,Site ID,Division,Site Name,Purchase Capacity (Mbps),Delay(msec),Jitter(ms),Packet Loss(),Avg(out) mb/sbit/s,Avg(in) mb/sbit/s,Peak Throughput (Mbps) ,Utilization
16-Nov-18,NKPBD01,Mymensingh,Jaria land 55m,390,0,0,0,0,0,220.8144531,0.566190905
16-Nov-18,SRJNG02,Mymensingh,Jhinaigati land 55m,230,7,2 ,0.0004,37.86035156,7.46484375,82.4765625,0.35859375
16-Nov-18,SRSDR07,Mymensingh,Kamarer Char 32m Land,260,6,2 ,0,68.49902344,16.86816406,142.1484375,0.54672476
16-Nov-18,TNSDR56,Mymensingh,Gharinda_Tangail Sadar,100,3,1 ,0,23.61425781,3.538085938,51.56152344,0.515615234
17-Nov-18,JPDWG02,Mymensingh,Katharbill 25m Land,230,7,2 ,0,59.796875,23.23535156,124.7041016,0.542191746
17-Nov-18,JPMLN03,Mymensingh,Hajrabari bazar,260,6,2 ,0,75.51269531,20.28320313,145.453125,0.559435096
17-Nov-18,JPSDR04,Mymensingh,Nandina 55m land,450,7,2 ,0.0004,78.05273438,16.54882813,142.4189453,0.316486545
17-Nov-18,JPSDR14,Mymensingh,Ghoradhap 32m Land,230,6,2 ,0,70.37597656,14.45019531,147.25,0.640217391
17-Nov-18,JPSSB02,Mymensingh,Simla Bazar,250,7,2 ,0,95.11328125,20.47363281,183.8603516,0.735441406
17-Nov-18,MYFLP04,Mymensingh,Bowla 25m land,220,6,2 ,0,66.12207031,12.13769531,134.2011719,0.610005327
17-Nov-18,MYFLP05,Mymensingh,Chandhara Bazar 25m lan,260,6,2 ,0.0004,76.11035156,14.25,167.1503906,0.642886118
17-Nov-18,MYGFG03,Mymensingh,Kandipara bazar land,220,5,2 ,0,80.41015625,19.93652344,155.4121094,0.706418679
17-Nov-18,MYISG02,Mymensingh,Ishwarganj 55m,350,6,2 ,0,149.2724609,29.61328125,266.0488281,0.760139509
17-Nov-18,MYNND02,Mymensingh,Musulli 55m,330,6.6772,1.9687 ,0.000039,101.4042969,21.40722656,204.890625,0.620880682
17-Nov-18,MYNND04,Mymensingh,Madarinagar land,250,5.7548,1.8367 ,0,106.4355469,26.45117188,195.9404297,0.783761719
17-Nov-18,MYSDR18,Mymensingh,Biddaganj Bazar 25m,280,6,2 ,0,36.57421875,7.202148438,83.08496094,0.296732003
17-Nov-18,MYTRL04,Mymensingh,Kashiganj Land,350,5.8006,2.1831 ,0,173.7138672,38.43261719,316.1337891,0.903239397
17-Nov-18,NKATP01,Mymensingh,Atpara 55m,335,6,2 ,0.0004,116.4365234,23.90234375,212.4960938,0.634316698
17-Nov-18,NKKND01,Mymensingh,Kendua,200,4.3328,1.0715 ,0.000211,45.20898438,8.25,81.44140625,0.407207031
17-Nov-18,NKMDN01,Mymensingh,Madan,230,6.7987,1.6528 ,0,11.01074219,2.533203125,35.52148438,0.154441236
17-Nov-18,NKPBD01,Mymensingh,Jaria land 55m,390,6.1636,1.8086 ,0,111.5517578,23.2421875,215.8867188,0.553555689
17-Nov-18,SRJNG02,Mymensingh,Jhinaigati land 55m,230,7,2 ,0.0004,35.91992188,6.71484375,84.7421875,0.368444293
17-Nov-18,SRSDR07,Mymensingh,Kamarer Char 32m Land,260,6,2 ,0,73.12109375,13.59667969,146.4785156,0.563378906
17-Nov-18,TNSDR56,Mymensingh,Gharinda_Tangail Sadar,100,5,2 ,0.06,18.68652344,2.604492188,58.83691406,0.588369141
18-Nov-18,JPDWG02,Mymensingh,Katharbill 25m Land,230,7,2 ,0,54.22753906,22.11230469,104.4082031,0.453948709
18-Nov-18,JPMLN03,Mymensingh,Hajrabari bazar,260,6,1 ,0,74.00976563,19.55175781,138.6591797,0.533304537
18-Nov-18,JPSDR04,Mymensingh,Nandina 55m land,450,7,1 ,0,78.52050781,16.63671875,145.3066406,0.322903646
