Date,Open,High,Low,Close
7/2/2017,1746.926132,1815.96357,1711.620556,1768.035017
7/3/2017,1613.642268,1770.59078,1571.5799,1746.616849
7/4/2017,1677.605665,1690.036652,1501.750275,1614.227823
7/5/2017,1717.797546,1738.314438,1649.068729,1677.846847
7/6/2017,1594.79333,1756.511032,1594.79333,1718.650872
7/7/2017,1661.170212,1689.186683,1561.853493,1594.762694
7/8/2017,1514.769623,1660.909542,1510.010274,1660.909542
7/9/2017,1369.505095,1542.990946,1362.771234,1515.19377
7/10/2017,1314.855283,1373.845804,1274.357755,1369.040469
7/11/2017,1376.823617,1378.916074,1288.50156,1314.986229
7/12/2017,1382.231939,1402.399768,1328.529082,1376.115539
8/1/2017,1369.086768,1428.981208,1292.240078,1382.522812
8/2/2017,1251.279844,1356.288728,1226.173947,1332.492245
8/3/2017,1358.333332,1368.074059,1215.311258,1253.187133
8/4/2017,1323.741651,1376.0851,1253.340325,1357.05814
8/5/2017,1390.639873,1467.784942,1304.974044,1324.414778
8/6/2017,1231.210593,1395.111301,1225.274045,1391.609408
8/7/2017,1235.267895,1272.151074,1200.893315,1230.990636
8/8/2017,1118.889062,1271.68757,1046.596579,1236.512207
8/9/2017,1382.684417,1382.684417,1098.476188,1121.57092
8/10/2017,1375.248467,1405.744088,1243.299974,1382.274094
8/11/2017,1257.434543,1432.300042,1254.522993,1377.295842
8/12/2017,1230.313285,1259.450124,1187.311053,1257.279502
9/1/2017,1233.453358,1265.644693,1174.388582,1230.172272
9/2/2017,1171.44306,1290.053597,1157.623825,1233.537568
9/3/2017,1221.87715,1250.505828,1090.721107,1171.834611
9/4/2017,1130.231146,1244.163028,1093.060741,1218.452978
9/5/2017,1043.740965,1134.33849,994.5490434,1130.739402
9/6/2017,1088.526686,1149.240287,1012.764133,1043.434584
9/7/2017,1261.622968,1261.622968,924.9225849,1090.145373
9/8/2017,1280.871043,1347.926125,1194.715599,1262.246664
9/9/2017,1223.740453,1303.871833,1182.27042,1281.077291
9/10/2017,1225.967897,1273.827504,1076.081536,1224.197145
9/11/2017,1208.078325,1282.579591,1167.443151,1225.678135
