Date,Open,High,Low,Close,Adj Close,Volume
5/26/2021,104.96,107.44,104.32,107.20,107.04,7533713.00
5/27/2021,108.80,115.20,108.72,114.80,114.62,23073575.00
5/28/2021,114.32,114.72,112.24,112.48,112.31,9071488.00
6/1/2021,113.84,114.72,112.80,113.20,113.03,6284613.00
6/2/2021,113.44,113.44,112.08,112.72,112.55,4992100.00
6/3/2021,111.92,114.96,111.52,112.72,112.55,7895475.00
6/4/2021,113.28,113.60,110.88,111.68,111.51,8008900.00
6/7/2021,112.00,112.56,110.88,111.28,111.11,4668638.00
6/8/2021,111.76,111.92,109.76,111.20,111.03,5515250.00
6/9/2021,110.16,110.48,109.36,109.84,109.67,6970963.00
6/10/2021,110.48,110.96,108.72,109.04,108.87,6229850.00
6/11/2021,109.20,110.24,108.56,109.52,109.35,5295663.00
6/14/2021,110.24,110.64,107.28,107.76,107.59,5678225.00
6/15/2021,107.60,108.56,106.48,108.32,108.15,4753238.00
6/16/2021,108.00,109.20,106.32,107.52,107.35,8766413.00
6/17/2021,107.28,108.08,103.28,104.00,103.84,9626675.00
6/18/2021,102.72,104.16,102.00,102.24,102.08,10258088.00
6/21/2021,103.12,105.52,102.88,105.52,105.36,6744263.00
6/22/2021,104.96,105.60,103.52,104.24,104.08,4783575.00
6/23/2021,104.16,105.52,103.52,103.60,103.44,5459688.00
6/24/2021,104.48,105.60,103.36,105.20,105.04,5977550.00
6/25/2021,105.28,105.92,104.80,105.28,105.20,4264450.00
6/28/2021,105.28,105.36,102.32,103.12,103.04,7723450.00
6/29/2021,104.48,105.84,103.68,104.72,104.64,8649650.00
6/30/2021,105.20,108.24,104.40,107.68,107.60,8568975.00
7/1/2021,108.64,109.04,106.88,107.84,107.76,5836638.00
7/2/2021,108.32,108.32,106.48,106.88,106.80,4144988.00
7/6/2021,106.24,106.56,102.56,103.36,103.28,8829850.00
7/7/2021,103.04,104.64,101.92,103.84,103.76,7632563.00
7/8/2021,101.84,103.52,100.88,102.96,102.88,6727850.00
7/9/2021,104.08,105.52,103.52,105.28,105.20,5165288.00
7/12/2021,104.48,105.12,103.20,104.88,104.80,6969838.00
7/13/2021,104.72,104.72,103.04,103.12,103.04,4926450.00
7/14/2021,103.04,103.84,101.76,102.48,102.40,5588738.00
7/15/2021,101.52,103.36,100.56,102.08,102.00,6423850.00
7/16/2021,102.40,102.96,100.16,100.40,100.32,5695475.00
7/19/2021,97.52,97.92,94.56,96.00,95.93,12362150.00
7/20/2021,96.08,101.92,95.92,101.60,101.52,9390363.00
7/21/2021,102.32,104.88,102.16,104.64,104.56,8440725.00
