Date,SOURCE-SITE,microbox-gist-2,microbox-um-1,microbox-chula-1,microbox-ucsy-1,microbox-itb-1,microbox-monash-1
2020-10-25,smartx-microbox-gist1,942,2.78,2.49,2,1.74,2.95
2020-10-26,smartx-microbox-gist1,893,3.3,2.23,2.26,0,2.35
2020-10-27,smartx-microbox-gist1,939,2.61,3,1.82,0,5.21
2020-10-28,smartx-microbox-gist1,943,3.04,4.63,2.52,0,2.08
2020-10-29,smartx-microbox-gist1,940,2.69,4.11,3.21,0,3.3
2020-10-30,smartx-microbox-gist1,940,3.04,3.34,2.43,0,2.52
2020-10-31,smartx-microbox-gist1,943,3.04,3.17,2,0,2.26
2020-11-01,smartx-microbox-gist1,942,3.82,2.83,2.26,0,3.91
2020-11-02,smartx-microbox-gist1,942,2.52,2.66,2.26,0,3.04
2020-11-03,smartx-microbox-gist1,943,3.13,2.66,3.65,0,2.61
2020-11-04,smartx-microbox-gist1,941,2.17,3,2.17,0,2
2020-11-05,smartx-microbox-gist1,942,6.69,3.09,1.74,0,3.3
2020-11-06,smartx-microbox-gist1,817,2.26,2.29,3.21,0,3.13
2020-11-07,smartx-microbox-gist-1,942,3.47,2.31,1.56,0,2.09
2020-11-20,smartx-microbox-gist1,943,58.5,64.6,12.8,71.2,54.8
2020-11-21,smartx-microbox-gist1,942,50.9,41.6,26.5,73.4,33.6
2020-11-22,smartx-microbox-gist1,942,33.9,48.6,22.6,37.4,41.9
2020-11-23,smartx-microbox-gist1,942,43.4,65.8,12.9,31.6,15.1
2020-11-24,smartx-microbox-gist1,935,26.2,25.4,16.9,31.5,31
2020-11-25,smartx-microbox-gist1,941,49,67.3,10.3,22.5,41.6
2020-11-26,smartx-microbox-gist1,941,25.3,20,15.5,39.1,21.2
2020-11-27,smartx-microbox-gist1,864,36.5,32.7,26.7,60.6,31.9
2020-11-28,smartx-microbox-gist1,942,20.9,24.5,9.73,44.4,20.9
2020-11-29,smartx-microbox-gist1,941,28.2,21.3,12.9,22.4,24.3
2020-11-30,smartx-microbox-gist1,942,36.1,15.6,15.4,23.8,25
2020-12-01,smartx-microbox-gist1,940,52.4,23.7,11.3,69.2,40.1
2020-12-02,smartx-microbox-gist1,941,41.4,2.02,22.3,37.3,28.4
2020-12-03,smartx-microbox-gist1,942,34.3,39.3,22.4,33.1,37.1
2020-12-04,smartx-microbox-gist1,942,47.5,36.3,21.7,44.2,31.9
2020-12-05,smartx-microbox-gist1,925,33.2,21.6,15.8,24.7,85.6
2020-12-06,smartx-microbox-gist1,941,91,35.8,10.7,36.9,35.9
2020-12-07,smartx-microbox-gist1,942,25.5,28.5,21.1,70.9,65.9
2020-12-08,smartx-microbox-gist1,913,65.9,30.3,26.1,39.8,47.8
2020-12-09,smartx-microbox-gist1,941,57.9,38.1,14.1,78.5,47.1
2020-12-10,smartx-microbox-gist1,940,25.4,53.7,28.8,61.4,36.4
2020-12-11,smartx-microbox-gist1,856,34.6,21.1,17.6,45.2,23.5
2020-12-12,smartx-microbox-gist1,834,51.9,36.3,23.7,17.4,58.6
2020-12-13,smartx-microbox-gist1,942,37.9,23.1,27.2,37.1,85.2
2020-12-14,smartx-microbox-gist1,846,46.6,50.7,7.91,17.6,73.2
2020-12-15,smartx-microbox-gist1,941,42.4,22.5,37.2,32.9,27.4
2020-12-16,smartx-microbox-gist1,942,13.2,12.9,28.6,19,17
2020-12-17,smartx-microbox-gist1,942,21.3,9.77,22.7,24.9,15.5
2020-12-18,smartx-microbox-gist1,816,21.6,16.9,9.38,19.4,11.8
2020-12-19,smartx-microbox-gist1,942,28.1,19.9,22.2,30.4,30.1
2020-12-20,smartx-microbox-gist1,942,18.9,21.3,15.6,20.5,30.8
2020-12-21,smartx-microbox-gist1,943,30,16.4,24.4,54.4,18.9
2020-12-23,smartx-microbox-gist1,897,28.2,28.8,15.2,36.5,39.7
2020-12-24,smartx-microbox-gist1,942,28.5,10.8,17.6,15.5,24.8
2020-12-25,smartx-microbox-gist1,941,35.8,13.3,26.5,0,29.8
2020-12-26,smartx-microbox-gist1,943,19.3,22.4,15.6,25.8,17.5
2020-12-27,smartx-microbox-gist1,941,14.2,19.7,16.9,23.4,24.3
2020-12-28,smartx-microbox-gist1,932,16.7,26.7,20.2,12.2,36.5
2020-12-29,smartx-microbox-gist1,941,17.4,51.7,15.3,23.5,24.2
2020-12-30,smartx-microbox-gist1,938,16.2,29.7,17.8,38.6,31.8
2020-12-31,smartx-microbox-gist1,927,24.2,18.2,17.8,18.9,27
2021-01-01,smartx-microbox-gist1,922,40.7,33.4,11.6,22.5,14.3
2021-01-02,smartx-microbox-gist1,941,34.6,22.5,9.64,39.1,27.5
2021-01-03,smartx-microbox-gist1,942,40.2,25.5,8.34,42.2,23.2
2021-01-04,smartx-microbox-gist1,942,29.3,15.2,23.9,16.9,28.9
2021-01-05,smartx-microbox-gist1,941,19.4,35.5,23,29.1,19
2021-01-06,smartx-microbox-gist1,942,28.5,34.7,11.3,19,23.2
2021-01-07,smartx-microbox-gist1,940,33.4,12.3,21.4,19.9,24.8
2021-01-14,smartx-microbox-gist1,941,15,15.6,13.7,8.86,29.4
2021-01-15,smartx-microbox-gist1,941,20.5,24.4,10.8,18.9,28.2
2021-01-16,smartx-microbox-gist1,942,14.2,26.7,14.7,22.4,23.8
2021-01-17,smartx-microbox-gist1,942,11.2,19.2,10.9,12.4,33
2021-01-19,smartx-microbox-gist1,942,23.2,16.3,19.4,12.7,8.95
2021-01-20,smartx-microbox-gist1,943,28.4,13.5,6.95,18.2,18.9
2021-01-21,smartx-microbox-gist1,942,26.8,29.8,24.2,42.5,16.2
2021-01-22,smartx-microbox-gist1,943,24.6,25.4,18.8,11.2,25.3
2021-01-23,smartx-microbox-gist1,943,21.9,21.7,16.1,16.8,20.5
2021-01-24,smartx-microbox-gist1,939,29.9,14.9,21,23.9,28.2
2021-01-25,smartx-microbox-gist1,943,52,69.8,18.9,65.7,46.7
2021-01-26,smartx-microbox-gist1,943,80,60.1,17.3,64.8,42.9
2021-01-27,smartx-microbox-gist1,943,44.7,38.8,23,62.4,36.2
2021-01-28,smartx-microbox-gist1,939,64.6,22.5,23.4,43.7,30.7
2021-01-29,smartx-microbox-gist1,942,27.4,36.2,9.82,84.9,50.4
2021-01-30,smartx-microbox-gist1,941,75.3,24.3,12.7,49.2,53.8
2021-01-31,smartx-microbox-gist1,941,51,36.1,19,43.7,36.1
2021-02-01,smartx-microbox-gist1,937,38.1,48.7,27.5,37.9,42.7
2021-02-02,smartx-microbox-gist1,941,53.4,60.8,29.8,67.4,68.4
2021-02-03,smartx-microbox-gist1,941,40.5,47.6,18.6,27.7,49.4
2021-02-04,smartx-microbox-gist1,941,56.5,41.9,27.5,36.5,67.1
2021-02-05,smartx-microbox-gist1,940,43.4,60.6,17.9,45.3,57.4
2021-02-06,smartx-microbox-gist1,942,58.6,63.7,22.1,71.8,78.2
2021-02-07,smartx-microbox-gist1,942,110,21.9,19.5,75.2,67.6
2021-02-08,smartx-microbox-gist1,942,70.5,33.4,26,62.6,52.1
2021-02-09,smartx-microbox-gist1,941,49.8,49.8,20.7,51.3,29.4
2021-02-10,smartx-microbox-gist-1,941,60.4,30.3,24,59.7,81.3
